ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
indicator,sma,ema,rsi,macd,bollinger_bands,stochastic,adx,sma,ema,rsi,macd,bollinger_bands,stochastic,adx
Datetime,,,,,,,,,,,,,,
2026-01-19 08:30:00+00:00,-1,1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-19 09:30:00+00:00,1,1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-19 10:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-19 11:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-19 12:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,1,0,1,Strong Trend
2026-01-19 13:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,1,0,1,Strong Trend
2026-01-19 14:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,1,0,-1,Strong Trend
2026-01-19 15:30:00+00:00,1,1,0,1,0,1,Strong Trend,-1,-1,0,1,0,-1,Strong Trend
2026-01-19 16:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,1,0,1,Developing Trend
2026-01-19 17:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,1,0,1,Developing Trend
2026-01-19 18:30:00+00:00,1,1,0,1,0,1,Strong Trend,-1,-1,0,1,0,-1,Developing Trend
2026-01-19 19:30:00+00:00,1,1,0,1,0,1,Strong Trend,1,-1,0,1,0,-1,Developing Trend
2026-01-19 20:30:00+00:00,1,1,0,1,0,1,Strong Trend,1,-1,0,1,0,1,Developing Trend
2026-01-19 21:30:00+00:00,1,1,0,1,0,-1,Strong Trend,1,-1,0,1,0,1,sideways
2026-01-19 22:30:00+00:00,1,1,0,1,0,1,Strong Trend,1,-1,0,1,0,-1,sideways
2026-01-19 23:30:00+00:00,1,1,0,1,0,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 00:30:00+00:00,1,1,0,1,0,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 01:30:00+00:00,1,1,0,1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 02:30:00+00:00,1,1,0,1,0,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-20 03:30:00+00:00,1,1,0,1,0,-1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-20 04:30:00+00:00,1,1,0,1,0,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 05:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-20 06:30:00+00:00,1,1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-20 07:30:00+00:00,1,1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 08:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,-1,0,1,0,-1,sideways
2026-01-20 09:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,-1,0,1,0,1,sideways
2026-01-20 10:30:00+00:00,1,1,-1,1,0,-1,Strong Trend,1,1,0,1,0,1,sideways
2026-01-20 11:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,1,0,1,-1,1,sideways
2026-01-20 12:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,1,0,1,-1,-1,sideways
2026-01-20 13:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,1,0,1,0,-1,sideways
2026-01-20 14:30:00+00:00,1,1,-1,1,-1,-1,Strong Trend,-1,-1,0,-1,1,-1,sideways
2026-01-20 15:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-20 16:30:00+00:00,1,1,-1,1,-1,-1,Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-20 17:30:00+00:00,1,1,-1,1,0,-1,Extremely Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-20 18:30:00+00:00,1,1,-1,1,0,-1,Extremely Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-20 19:30:00+00:00,1,1,-1,1,0,-1,Extremely Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-20 20:30:00+00:00,1,1,-1,1,0,1,Extremely Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-20 21:30:00+00:00,1,1,-1,1,0,1,Extremely Strong Trend,-1,-1,0,-1,0,-1,sideways
2026-01-20 22:30:00+00:00,1,1,-1,1,0,-1,Extremely Strong Trend,-1,-1,0,-1,0,1,sideways
2026-01-20 23:30:00+00:00,1,1,0,1,0,-1,Extremely Strong Trend,-1,-1,0,1,0,1,sideways
2026-01-21 00:30:00+00:00,1,1,0,-1,0,-1,Extremely Strong Trend,-1,1,0,1,0,1,sideways
2026-01-21 01:30:00+00:00,1,1,0,-1,0,-1,Extremely Strong Trend,-1,1,0,1,0,1,sideways
2026-01-21 02:30:00+00:00,1,1,0,-1,0,1,Extremely Strong Trend,1,1,0,1,0,-1,sideways
2026-01-21 03:30:00+00:00,1,1,0,-1,0,-1,Extremely Strong Trend,1,1,0,1,0,-1,sideways
2026-01-21 04:30:00+00:00,1,1,0,-1,0,1,Extremely Strong Trend,1,1,0,1,0,1,sideways
2026-01-21 05:30:00+00:00,1,1,0,-1,0,-1,Extremely Strong Trend,1,1,0,1,0,-1,sideways
2026-01-21 06:30:00+00:00,1,1,0,-1,0,1,Extremely Strong Trend,1,1,0,1,0,-1,sideways
2026-01-21 07:30:00+00:00,-1,1,0,-1,0,1,Extremely Strong Trend,1,1,0,-1,0,-1,sideways
